x,y,z,t,value,mass,volume,count,label,group
84.8914558122,85.9765309864,87.0524385772,0,2010,2727,2727.0,2727,isthmuscingulate_R,Right
61.0438183094,48.4402887797,76.4966409305,0,2011,9973,9973.0,9973,lateraloccipital_R,Right
68.6304009575,156.750448833,57.5284260922,0,2012,8355,8355.0,8355,lateralorbitofrontal_R,Right
77.7586657946,65.4926422498,68.3675604971,0,2013,6116,6116.0,6116,lingual_R,Right
85.4787892685,160.041045632,57.535198349,0,2014,4361,4361.0,4361,medialorbitofrontal_R,Right
37.5755092298,102.840308721,61.4470878421,0,2015,12568,12568.0,12568,middletemporal_R,Right
68.6290726817,97.3929824561,55.6796992481,0,2016,1995,1995.0,1995,parahippocampal_R,Right
84.2184291581,104.429928131,120.125513347,0,2017,3896,3896.0,3896,paracentral_R,Right
45.1138942411,138.694069792,81.2956540355,0,2018,4671,4671.0,4671,parsopercularis_R,Right
49.907249467,154.99466951,62.7697228145,0,2019,1876,1876.0,1876,parsorbitalis_R,Right
44.9851576994,155.117943281,75.3668168566,0,2020,3773,3773.0,3773,parstriangularis_R,Right
78.2974504249,55.679414542,78.8238904627,0,2021,2118,2118.0,2118,pericalcarine_R,Right
49.3487293458,105.158952556,108.569523625,0,2022,10349,10349.0,10349,postcentral_R,Right
86.3177824902,112.061193578,103.52832475,0,2023,3301,3301.0,3301,posteriorcingulate_R,Right
52.4682797285,119.075833579,108.012171732,0,2024,13556,13556.0,13556,precentral_R,Right
82.1443850267,75.0247840395,102.669374743,0,2025,9724,9724.0,9724,precuneus_R,Right
84.0309430255,158.521119843,74.1542239686,0,2026,2036,2036.0,2036,rostralanteriorcingulate_R,Right
53.6279157975,164.67646501,86.1865162147,0,2027,10546,10546.0,10546,rostralmiddlefrontal_R,Right
77.2005488794,158.154808932,101.821406295,0,2028,24049,24049.0,24049,superiorfrontal_R,Right
66.4826443398,73.7502180359,114.724228153,0,2029,11466,11466.0,11466,superiorparietal_R,Right
43.4559957458,120.598444563,63.3610077107,0,2030,15044,15044.0,15044,superiortemporal_R,Right
42.2488874054,94.4078771696,100.154428126,0,2031,8988,8988.0,8988,supramarginal_R,Right
0.0,0.0,0.0,0,2032,0,0.0,0,frontalpole_R,Right
0.0,0.0,0.0,0,2033,0,0.0,0,temporalpole_R,Right
47.4199806014,110.586808923,77.1978661494,0,2034,1031,1031.0,1031,transversetemporal_R,Right
55.1925705795,128.089598811,70.0557206538,0,2035,6730,6730.0,6730,insula_R,Right
